,name,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max,address1,address2,line,station,walk_minutes
75,グランスイート下赤塚,2018/4,53900000,78800000,2LDK+S,3LDK,67.58,87.23,板橋区,赤塚２,東武東上線,下赤塚,2
76,ザ・パークハウス 杉並上井草,2017/11,56980000,89980000,2LDK,4LDK,67.68,85.4,杉並区,上井草３,ＪＲ中央線,荻窪,73
77,クレヴィア千鳥町,2017/11,58480000,68580000,3LDK,3LDK,66.0,75.33,大田区,千鳥３,東急池上線,千鳥町,5
78,ザ・パークハウス 渋谷笹塚,2018/8,59980000,84980000,2LDK,3LDK,54.86,73.62,渋谷区,幡ヶ谷３,京王線,笹塚,10
79,プロスタイル日本橋馬喰町,2017/11,59990000,64890000,1LDK+S,1LDK+S,60.92,68.1,中央区,東日本橋３,都営新宿線,馬喰横山,1
80,インプレスト西馬込ヒルズ,2017/11,63900000,63900000,3LDK,3LDK,74.41,74.41,大田区,西馬込１,都営浅草線,西馬込,4
81,イニシアクラウド渋谷笹塚,2017/11,64980000,69980000,3LDK,3LDK,70.04,70.04,渋谷区,幡ヶ谷３,京王新線,幡ヶ谷,10
82,ザ・パークハウス 山吹神楽坂,2018/1,67500000,100000000,2LDK,2LDK,60.3,84.6,新宿区,山吹町,東京メトロ有楽町線,江戸川橋,4
83,グラン レ・ジェイド渋谷富ヶ谷,2018/3,69600000,100000000,1LDK,3LDK,47.71,47.71,渋谷区,富ヶ谷１,ＪＲ山手線,渋谷,20
84,クラッシィハウス世田谷松陰神社前,2017/11,71900000,71900000,2LDK+S,2LDK+S,75.51,75.51,世田谷区,若林４,東急世田谷線,松陰神社前,3
85,THEパームス祐天寺マスタープレイス,2018/3,72500000,91400000,3LDK,4LDK,70.57,82.34,世田谷区,下馬１,東急東横線,祐天寺,11
86,グローリオ文京東大前ヒルズ,2018/3,75200000,100000000,3LDK,3LDK,67.72,80.66,文京区,白山１,都営三田線,白山,5
87,ルジェンテ浅草,2018/320日,32000000,32000000,1LDK,1LDK,31.15,31.15,台東区,浅草６,東京メトロ銀座線,浅草,9
88,パークリュクス虎ノ門　,2019/3,37880000,95980000,1R,2LDK,25.86,60.28,港区,西新橋３,東京メトロ銀座線,虎ノ門,10
89,ルフォン築地 ザ・レジデンス,2018/3,47600000,83900000,1LDK,3LDK,40.29,71.82,中央区,築地6丁目,東京メトロ日比谷線,築地,5
90,Brillia久が原,2018/12,49000000,76000000,2LDK,3LDK,54.54,82.13,大田区,久が原５,東急池上線,千鳥町,8
91,プラウド府中美好町,2018/7,49480000,70480000,3LDK,3LDK,67.19,80.01,府中市,美好町１,京王線,府中,12
92,Brillia 品川 Canal Side,2018/11,51700000,80900000,1LDK,1LDK,42.35,70.79,品川区,北品川１,ＪＲ山手線,品川,10
93,クレヴィア東京八丁堀　新川ザ・レジデンス,2019/3,61400000,89500000,2LDK,2LDK,54.24,72.96,中央区,新川２,ＪＲ山手線,東京,16
94,ブランズシティ久が原,2017/11,62680000,73780000,3LDK,3LDK,70.65,73.0,大田区,鵜の木１,東急池上線,久が原,4
95,ドレッセ用賀,2018/3,78900000,78900000,2LDK+S,2LDK+S,70.04,70.04,世田谷区,用賀３,東急田園都市線,用賀,8
99,ミオカステーロ八王子II,2018/10,22480000,40880000,3LDK,3LDK,66.15,77.1,八王子市,八日町,ＪＲ中央線,八王子,13
100,パークゲート メイツ 西新井,2017/11,24980000,38380000,3LDK,3LDK,60.34,75.83,足立区,西新井３,東武大師線,大師前,13
101,ブラントン蔵前,2018/8,28000000,28000000,1K,1K,26.93,26.93,台東区,蔵前２,都営浅草線,蔵前,1
102,レーベン八王子GRANDSAGE,2018/3,29000000,48000000,3LDK,3LDK,60.91,74.0,八王子市,寺町,ＪＲ中央線,八王子,6
103,THEパームス調布マノアーガーデン,2018/12,37000000,58000000,2LDK+S,4LDK,64.52,83.94,調布市,多摩川１,京王線,西調布,9
104,ガーラ・レジデンス平井,2018/9,43300000,52600000,3LDK,3LDK,55.18,75.64,江戸川区,平井５,ＪＲ総武線,平井,4
105,ジオ新宿若松町,2018/5,46900000,98300000,1K,3LDK,35.47,75.75,新宿区,若松町,都営大江戸線,若松河田,2
106,クレストプライムタワー芝,2017/11,54980000,100000000,1LDK,3LDK,41.32,90.16,港区,芝１,ＪＲ山手線,浜松町,6
107,ジオ四谷,2017/11、2018/4,56800000,100000000,1LDK,3LDK,46.51,78.74,新宿区,三栄町,東京メトロ丸ノ内線,四谷三丁目,6
108,ソライエ葛飾小菅,2018/10,29000000,46000000,2LDK,4LDK,58.06,79.05,葛飾区,小菅１,東武伊勢崎線,小菅,9
109,クレヴィア住吉扇橋,2019/3,31000000,67000000,1LDK,3LDK,35.07,66.08,江東区,扇橋２,東京メトロ半蔵門線,住吉,7
110,ジオ千代田大手町,2019/2,42900000,200000000,1DK,3LDK,36.04,112.61,千代田区,内神田１,東京メトロ丸ノ内線,大手町,5
111,プライムパークス品川シーサイド ザ・レジデンス,2018/11,54800000,72100000,2LDK,2LDK,57.61,84.62,品川区,東大井１,りんかい線,品川シーサイド,5
112,ジオ深川住吉,2018/4,57400000,70900000,2LDK+S,3LDK,67.5,75.89,江東区,扇橋２,東京メトロ半蔵門線,住吉,5
113,Brillia 東中野 Station Front,2018/12,59980000,59980000,2LDK,2LDK,54.24,54.24,中野区,東中野２,ＪＲ中央線,東中野,2
114,パークコート乃木坂　ザ　タワー,2019/4,80000000,300000000,1LDK,3LDK,37.49,100.65,港区,南青山１,東京メトロ千代田線,乃木坂,2
115,ザ・パークハウス 五番町,2018/9,100000000,100000000,2LDK,2LDK,63.85,79.29,千代田区,五番町４,ＪＲ総武線,市ヶ谷,2
116,シティインデックスときわ台,2017/11,23980000,38980000,1LDK,1LDK,31.31,47.39,板橋区,富士見町,東武東上線,中板橋,7
117,センチュリー新小岩,2018/3,27000000,47000000,1LDK+S,4LDK,55.56,78.82,葛飾区,東新小岩２,ＪＲ総武線,新小岩,15
118,BrilliaTower 八王子,2019/1,27900000,52200000,1LDK,3LDK,40.31,80.82,八王子市,横山町,ＪＲ中央線,八王子,4
